,Unnamed: 0,Unnamed: 0.1,SHIPMENT ID,CUSTOMER,DISTANCE,CASES,WEIGHT,VOLUME,SOURCE LOCATION ID,ORIGIN NAME,ORIGIN CITY,ORIGIN STATE,ORIGIN ZIP,DEST LOCATION ID,CONSIGNEE NAME,DEST CITY,DEST STATE,DEST ZIP,ACTUAL CARRIER,ACTUAL MODE,ACTUAL EQUIP,LINEHAUL COSTS,FUEL COSTS,ACC. COSTS,TOTAL ACTUAL COST,PU_APPT,DL_APPT,PU_ARRIVAL (X3),PU_DEPARTED (AF),DL_ARRIVAL (X1),DL_DEPARTED (D1),Insert Date
678092,46867,46867,EXEL.B22026E07104,2941159810065373912,525.4,4,72.4,4.88,26570635397185807,7582157168243131518,Memphis,TN,38134,-8058697980840416336,5570986448736151984,CORDELE,GA,31015,-5431909444047277013,CORP.PARCEL,CORP.53DV,11.88,0.0,0.0,11.88,1/28/2022 21:01,1/31/2022 21:01,1/28/2022 15:06,1/28/2022 18:18,NO EVENT,1/31/2022 16:04,34:59.0
3985976,83487,83487,MTNORAM.B22004M02370,9207189799533540268,637.5,0,4836.0,462.22,5739463124332497399,-3130583615246142764,SAN ANTONIO,TX,78264,-5737853917537205090,-1516018634443013368,SPRINGDALE,AR,72764,2839028930768726471,MTNORAM.LTL,MTNORAM.53DV,130.77,22.62,0.0,153.39,1/6/2022 23:59,1/13/2022 19:01,1/10/2022 13:46,1/10/2022 12:39,1/13/2022 13:13,1/13/2022 13:56,56:54.0
4321742,172206,172206,MTNORAM.B22108M07079,7485008617214758133,736.3,3,2.21,0.1,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,-4886870434395280949,9082546302000550429,MARIETTA,GA,30060,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,2.21,0.0,0.0,2.21,4/21/2022 21:04,4/22/2022 17:04,4/21/2022 17:48,4/21/2022 22:34,NO EVENT,4/22/2022 13:48,46:24.0
37712,37712,37712,EXEL.B22261E00024,2941159810065373912,420.0,3,0.75,0.0,26570635397185807,7582157168243131518,Memphis,TN,38134,-6084645123695244679,4967780360805992024,CUMMING,GA,30040,1896630384904438820,CORP.PARCEL,CORP.53DV,6.59,0.0,0.0,6.59,9/19/2022 17:09,9/20/2022 21:09,9/19/2022 12:31,NO EVENT,NO EVENT,NO EVENT,13:53.0
1829044,318069,318069,EXEL.B21271E07153,978799939867630084,2098.4,1,12.0,5.81,-6587403860997382797,877378374229847073,LOUISVILLE,KY,40219,7312426277253139136,3001720935089018267,LOS ANGELES,CA,90065,-5003420099030012816,CORP.PARCEL,CORP.53DV,21.61,1.84,0.0,23.45,9/28/2021 7:09,9/29/2021 17:09,9/28/2021 3:00,NO EVENT,NO EVENT,NO EVENT,00:32.0
3734187,168996,168996,MTNORAM.B22031M02709,5194020264032378374,542.7,2,106.1,3.66,-8549752592033726330,-8672726878998638797,MOORESVILLE,IN,46158,-2866319095361603874,4761934587222054412,UNION CITY,GA,30291,-5431909444047277013,MTNORAM.PARCEL,MTNORAM.53DV,106.1,0.0,0.0,106.1,2/2/2022 19:02,2/7/2022 13:02,2/2/2022 14:40,NO EVENT,NO EVENT,NO EVENT,17:01.0
4030526,21722,21722,MTNORAM.B21293M00965,-2573927653953271278,2600.1,0,214.68,29.72,4011111436508955939,-1541690557559768190,YORK,PA,17406,-5168352261652922545,-3508808805863884233,RIALTO,CA,92377,7829521301973152978,MTNORAM.LTL,MTNORAM.53DV,112.85,17.72,0.0,130.57,10/21/2021 19:10,10/28/2021 7:10,10/21/2021 15:58,10/21/2021 15:59,10/28/2021 0:35,10/28/2021 0:36,51:52.0
2033514,522539,522539,EXEL.B21272E00042,-697198312127870698,33.0,4,480.0,83.36,-4291225833868569268,-2235993967614626577,ROCKLEIGH,NJ,7647,-5908088467502979911,-3036073314090456365,WEST ORANGE,NJ,7052,6799439698415359101,CORP.LTL,CORP.53DV,112.0,0.0,7.86,119.86,10/6/2021 0:10,10/11/2021 16:10,NO EVENT,NO EVENT,10/11/2021 12:02,10/11/2021 12:47,03:57.0
421355,421355,421355,EXEL.B22215E06964,562003601178532658,960.63,2,0.16,2.0,-7414928951098249859,6249500791195756829,HORN LAKE,MS,38637,1917655303589464229,5120555434544109636,HARRISBURG,PA,17112,-4290289884386242506,CORP.PARCEL,CORP.53DV,5.72,0.0,0.0,5.72,8/5/2022 22:08,8/9/2022 19:08,NO EVENT,NO EVENT,NO EVENT,NO EVENT,58:22.0
642477,11252,11252,EXEL.B22048E06428,2941159810065373912,492.7,11,0.7,0.04,26570635397185807,7582157168243131518,Memphis,TN,38134,2753841637850872475,-1510495657044926898,WHITESTOWN,IN,46075,1896630384904438820,CORP.PARCEL,CORP.53DV,6.59,0.0,0.0,6.59,2/23/2022 22:02,2/24/2022 19:02,2/23/2022 16:30,2/23/2022 22:20,NO EVENT,2/24/2022 14:49,46:52.0
1764879,253904,253904,EXEL.B21302E07279,562003601178532658,35.62,1,2.91,466.02,-7742943317505317602,3068304265030904147,PICO RIVERA,CA,90660,-1288329225833811867,-4645175589904973632,LOS ANGELES,CA,90049-3614,-4290289884386242506,CORP.PARCEL,CORP.53DV,5.72,0.0,0.0,5.72,11/1/2021 0:11,11/2/2021 22:11,NO EVENT,NO EVENT,NO EVENT,NO EVENT,09:19.0
982695,351470,351470,EXEL.B22024E06497,562003601178532658,223.6,5,0.3,5.0,-7414928951098249859,6249500791195756829,HORN LAKE,MS,38637,-8328868866167564234,5403442183664473701,JACKSON,MS,39216-4500,-4290289884386242506,CORP.PARCEL,CORP.53DV,5.72,0.0,0.0,5.72,1/26/2022 23:01,1/27/2022 21:01,NO EVENT,NO EVENT,NO EVENT,NO EVENT,17:36.0
4023111,14307,14307,MTNORAM.B21288M01137,-2573927653953271278,109.0,0,28560.02,1555.56,4011111436508955939,-1541690557559768190,YORK,PA,17406,3279562490457161346,7349213546015538992,BURLINGTON,NJ,8016,6290488854980792933,MTNORAM.TL,MTNORAM.53DV,665.0,50.14,0.0,715.14,10/25/2021 7:00,10/25/2021 11:00,10/25/2021 7:00,10/25/2021 9:00,10/25/2021 11:00,10/25/2021 13:00,41:33.0
4876506,726970,726970,MTNORAM.B22147M02702,-2573927653953271278,382.1,0,347.31,20.76,4011111436508955939,-1541690557559768190,YORK,PA,17406,-2143040996827905129,2358690421498728287,CHESTERFIELD,NH,3443,7829521301973152978,MTNORAM.LTL,MTNORAM.53DV,103.25,28.11,4.18,135.54,5/31/2022 15:05,6/2/2022 11:06,5/31/2022 11:31,5/31/2022 11:32,6/2/2022 7:04,6/2/2022 7:05,21:58.0
3162396,460740,460740,MTNORAM.B22207M00101,7485008617214758133,1021.7,2,2.2,0.1,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,2257486026152405398,-8440488031706022152,CRESTVIEW,FL,32539,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,2.2,0.0,0.0,2.2,7/26/2022 17:07,7/27/2022 22:07,7/26/2022 13:44,7/26/2022 17:24,NO EVENT,7/27/2022 17:02,10:13.0
792051,160826,160826,EXEL.B22049E06571,2941159810065373912,351.3,1,2.45,0.12,-6304456864783580834,-939722273477065836,Pleasant Prairie,WI,53158,-4991642887353245435,908941813343451349,SAINT CHARLES,MO,63301,-4290289884386242506,CORP.PARCEL,CORP.53DV,4.12,0.0,0.0,4.12,2/17/2022 14:02,2/18/2022 14:02,NO EVENT,NO EVENT,NO EVENT,NO EVENT,04:07.0
2743742,42086,42086,MTNORAM.B22187M01340,7485008617214758133,705.6,1,0.28,0.01,-8042456250106848909,-1774819625051906144,KNOXVILLE,TN,37921,-8062448886093151356,5857893487627111631,NORTH ARLINGTON,NJ,07031-6339,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,0.28,0.0,0.0,0.28,7/6/2022 21:07,7/7/2022 17:07,7/6/2022 17:13,7/6/2022 23:11,NO EVENT,7/7/2022 13:32,36:48.0
182397,182397,182397,EXEL.B22195E05942,2941159810065373912,3537.7,1,2.94,0.09,-6304456864783580834,-939722273477065836,Pleasant Prairie,WI,53158,8201060340323171981,-8285199256643670289,ANCHORAGE,AK,99518,-5431909444047277013,CORP.PARCEL,CORP.53DV,11.8,0.0,0.0,11.8,7/15/2022 22:07,7/19/2022 2:07,7/15/2022 17:30,7/14/2022 21:58,NO EVENT,7/18/2022 18:04,21:10.0
3478838,777182,777182,MTNORAM.B22238M02830,7485008617214758133,346.9,1,0.13,0.01,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,7817942786996843479,-1542735848475211615,ROXBORO,NC,27573-3929,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,0.13,0.0,0.0,0.13,8/29/2022 16:08,8/30/2022 20:08,8/29/2022 12:55,8/29/2022 17:55,NO EVENT,8/30/2022 16:04,39:44.0
1990609,479634,479634,EXEL.B21287E01200,7150976379295174430,362.2,2,5.5,2.17,-6585846919772518509,-3235392538066127428,MECHANICSBURG,PA,17050,9058315370802578506,-1219027338876414511,GRANDVIEW HEIGHTS,OH,43212,1896630384904438820,CORP.PARCEL,CORP.53DV,4.11,0.67,0.0,4.78,10/14/2021 20:10,10/21/2021 12:10,10/14/2021 16:43,NO EVENT,NO EVENT,NO EVENT,06:27.0
45594,45594,45594,EXEL.B22208E07059,2941159810065373912,711.9,7,2.18,0.08,26570635397185807,7582157168243131518,Memphis,TN,38134,8859927023327861750,1225004606461171954,SANFORD,NC,27330,-5431909444047277013,CORP.PARCEL,CORP.53DV,4.12,0.0,0.0,4.12,7/28/2022 22:07,8/1/2022 19:08,7/28/2022 17:02,7/28/2022 18:15,NO EVENT,8/1/2022 15:43,04:36.0
391381,391381,391381,EXEL.B22189E03905,5233586626808759321,266.2,9537,81.0,3.5,-7997155254794826658,714662294700765274,DALLAS,TX,75261,-2835267183267290499,-8556515107663393723,MISSOURI CITY,TX,77489,-4290289884386242506,CORP.TL,CORP.53DV,10001.0,0.0,0.0,10001.0,7/15/2022 1:07,7/15/2022 6:07,NO EVENT,NO EVENT,NO EVENT,NO EVENT,48:56.0
3821969,256778,256778,MTNORAM.B22073M05087,7485008617214758133,456.7,1,1.65,0.08,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,-8401175243837537926,1686414698125597706,LEBANON,OH,45036,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,1.65,0.0,0.0,1.65,3/18/2022 1:03,3/18/2022 18:03,3/17/2022 21:05,3/17/2022 22:26,NO EVENT,3/18/2022 14:15,21:14.0
1389797,295151,295151,EXEL.B21364E02701,562003601178532658,218.6,22,51.45,7237.11,-7414928951098249859,6249500791195756829,HORN LAKE,MS,38637,-1066504248133688442,4435743333521394676,HUNTSVILLE,AL,35807-0254,-4290289884386242506,CORP.PARCEL,CORP.53DV,8.89,0.0,0.0,8.89,12/31/2021 23:12,1/3/2022 21:01,NO EVENT,NO EVENT,NO EVENT,NO EVENT,27:43.0
473759,473759,473759,EXEL.B22220E05351,562003601178532658,1590.68,2,0.18,1.0,-7414928951098249859,6249500791195756829,HORN LAKE,MS,38637,-1995913909636911107,2470864648355269654,SOUTH HOLLAND,IL,60473,-4290289884386242506,CORP.PARCEL,CORP.53DV,5.72,0.0,0.0,5.72,8/10/2022 22:08,8/12/2022 20:08,NO EVENT,NO EVENT,NO EVENT,NO EVENT,09:15.0
703519,72294,72294,EXEL.B22028E02810,2941159810065373912,743.4,14,50.4,1.26,26570635397185807,7582157168243131518,Memphis,TN,38134,9089268502982837942,-1510495657044926898,WILLIAMSTON,MI,48895,1896630384904438820,CORP.PARCEL,CORP.53DV,38.96,0.0,0.0,38.96,2/1/2022 21:02,2/2/2022 20:02,2/1/2022 15:32,2/1/2022 20:42,NO EVENT,2/2/2022 15:54,52:55.0
2230544,165651,165651,EXEL.B22158E05951,2941159810065373912,1937.9,125,149.85,7.88,-6304456864783580834,-939722273477065836,Pleasant Prairie,WI,53158,2480365130810978082,6764914089982021103,SPARKS,NV,89434,1896630384904438820,CORP.PARCEL,CORP.53DV,143.77,0.0,0.0,143.77,6/10/2022 22:06,6/13/2022 23:06,6/10/2022 17:00,6/10/2022 22:05,NO EVENT,6/13/2022 16:44,04:44.0
2868046,166390,166390,MTNORAM.B22259M02883,7485008617214758133,190.6,1,1.38,0.07,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,5173633985860670726,8529025099115960862,GREENSBURG,PA,15601,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,1.38,0.0,0.0,1.38,9/19/2022 11:09,9/20/2022 18:09,9/19/2022 7:35,9/19/2022 18:35,NO EVENT,9/20/2022 14:23,44:05.0
848902,217677,217677,EXEL.B22067E07372,-697198312127870698,258.0,67,6710.1,1734.9,5205506108415621837,689470035470598634,HAGERSTOWN,MD,21740,-4291225833868569268,-2235993967614626577,ROCKLEIGH,NJ,7647,-9144606003389011363,CORP.TL,CORP.53DV,1553.06,0.0,0.0,1553.06,3/9/2022 20:00,3/9/2022 20:00,3/8/2022 23:02,NO EVENT,NO EVENT,3/9/2022 15:26,51:42.0
2608585,543692,543692,EXEL.B22124E07410,7150976379295174430,359.2,363,3391.66,285.07,-6585846919772518509,-3235392538066127428,MECHANICSBURG,PA,17050,-4024916583919205309,908941813343451349,GROVEPORT,OH,43125,-7483903397338642167,CORP.TL,CORP.53RF,2500.0,255.03,0.0,2755.03,5/6/2022 1:05,5/7/2022 11:05,5/5/2022 21:00,5/6/2022 15:34,5/6/2022 22:50,5/7/2022 8:34,29:12.0
2609141,544248,544248,EXEL.B22087E06609,7150976379295174430,133.5,6,32.4,1.72,-6585846919772518509,-3235392538066127428,MECHANICSBURG,PA,17050,8165152603971473011,-2632059947234101402,LUMBERTON,NJ,8048,1896630384904438820,CORP.PARCEL,CORP.53DV,6.56,1.73,0.0,8.29,3/29/2022 13:03,3/30/2022 22:03,3/29/2022 9:36,NO EVENT,NO EVENT,3/30/2022 18:07,24:28.0
58858,58858,58858,EXEL.B22200E09082,2941159810065373912,1174.0,11,0.51,0.64,26570635397185807,7582157168243131518,Memphis,TN,38134,-1773645663752866165,4305762830523823390,ASHLEY,ND,58413,-5431909444047277013,CORP.PARCEL,CORP.53DV,4.12,0.0,0.0,4.12,7/20/2022 21:07,7/25/2022 23:07,7/20/2022 16:05,7/20/2022 18:35,NO EVENT,7/25/2022 18:22,16:32.0
65840,65840,65840,EXEL.B22215E07611,2941159810065373912,875.9,3,0.24,0.02,26570635397185807,7582157168243131518,Memphis,TN,38134,2775960488109855169,4484742147399072298,LANHAM,MD,20706,-5431909444047277013,CORP.PARCEL,CORP.53DV,4.12,0.0,0.0,4.12,8/5/2022 21:08,8/9/2022 12:08,8/5/2022 16:01,NO EVENT,NO EVENT,NO EVENT,07:56.0
2444689,379796,379796,EXEL.B22102E06130,-697198312127870698,9.5,2,58.0,18.0,-8020804678380084932,2285104185170790202,BOISE,ID,83705,7512552713113004627,-1466663101478167655,BOISE,ID,83716,4345763104461969032,CORP.LTL,CORP.53DV,130.0,3.9,0.0,133.9,4/21/2022 21:04,4/12/2022 0:00,NO EVENT,NO EVENT,4/19/2022 14:53,4/19/2022 14:57,03:21.0
2935969,234313,234313,MTNORAM.B22180M02267,7485008617214758133,946.6,2,1.11,0.05,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,-6766984909077914344,3219966697807407364,LEESBURG,FL,34748,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,1.11,0.0,0.0,1.11,6/29/2022 22:06,6/30/2022 17:06,6/29/2022 18:27,6/29/2022 22:57,NO EVENT,6/30/2022 13:35,36:50.0
666184,34959,34959,EXEL.B22045E02340,2941159810065373912,449.5,17,1.53,0.17,26570635397185807,7582157168243131518,Memphis,TN,38134,4763827700952771354,8593385750014058007,MCKINNEY,TX,75071,-5431909444047277013,CORP.PARCEL,CORP.53DV,4.12,0.0,0.0,4.12,2/15/2022 17:02,2/17/2022 21:02,2/15/2022 11:34,2/15/2022 18:21,NO EVENT,2/17/2022 15:50,36:08.0
3119093,417437,417437,MTNORAM.B22201M04495,-5306179411193977156,2822.5,672,52.5,4.58,-7297574707520177944,3940401866508407889,CRANBURY,NJ,8512,-2652835421152187611,4273394593547725499,SACRAMENTO,CA,95834,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,52.5,0.0,0.0,52.5,7/23/2022 0:07,7/29/2022 0:07,7/22/2022 20:11,NO EVENT,NO EVENT,7/28/2022 17:51,13:05.0
3537259,835603,835603,MTNORAM.B22244M01163,7485008617214758133,2645.3,30,3.12,0.1,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,-4874313471507619741,-6360935236371208809,LOS ANGELES,CA,90043,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,3.12,0.0,0.0,3.12,9/1/2022 21:09,9/9/2022 1:09,9/1/2022 17:56,9/1/2022 19:53,NO EVENT,9/8/2022 18:13,08:52.0
3434095,732439,732439,MTNORAM.B22235M03552,7485008617214758133,2039.1,6,1.73,0.15,-8042456250106848909,-1774819625051906144,KNOXVILLE,TN,37921,-8293334596149215392,-927669918005699991,YUMA,AZ,85364,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,1.73,0.0,0.0,1.73,8/24/2022 20:08,8/26/2022 0:08,8/24/2022 16:12,8/25/2022 2:54,NO EVENT,8/25/2022 17:17,15:51.0
2975794,274138,274138,MTNORAM.B22181M02995,7485008617214758133,220.0,1,1.12,0.05,-8932952547986512276,-1774819625051906144,MANCHESTER,PA,17345,-3531300105825408186,-2560571231169128986,CROTON ON HUDSON,NY,10520,2674631463645570409,MTNORAM.PARCEL,MTNORAM.53DV,1.12,0.0,0.0,1.12,7/5/2022 23:07,7/6/2022 17:07,7/5/2022 19:12,7/5/2022 22:14,NO EVENT,7/6/2022 13:56,43:23.0
1207180,112534,112534,EXEL.B21334E01375,2941159810065373912,360.7,408,2878.2,107.37,-6304456864783580834,-939722273477065836,Pleasant Prairie,WI,53158,590339684956424123,-6910074395984021245,O FALLON,MO,63366,8689987903716344936,CORP.LTL,CORP.53DV,1541.76,275.97,0.0,1817.73,11/30/2021 21:11,12/3/2021 14:12,11/30/2021 15:45,11/30/2021 18:00,12/3/2021 7:00,12/3/2021 8:00,29:34.0
2029398,518423,518423,EXEL.B21309E00389,-697198312127870698,27.2,3,315.0,74.51,-539379412055132771,-1425867054364111058,PHOENIX,AZ,85043,-360922840558682372,-3020300432159302545,CHANDLER,AZ,85226,-9144606003389011363,CORP.TL,CORP.53DV,69.54,0.0,0.0,69.54,11/5/2021 20:00,11/5/2021 20:00,11/5/2021 12:45,NO EVENT,NO EVENT,11/5/2021 14:47,17:35.0
